Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771612053	481	878	12168	0	254976	6593	0	54	0	48049301	39649	2411115	5591	3	7280	4	32
1771612055	483	878	12168	0	254976	6593	0	54	0	48058181	39683	2419070	5618	3	7308	4	32
1771612057	485	878	12168	0	254976	6593	0	54	0	48058267	39684	2419168	5619	3	7338	4	32
1771612059	487	878	12168	0	254976	6593	0	54	0	48058603	39687	2419678	5622	3	7369	4	32
1771612061	489	878	12168	0	254976	6593	0	54	0	48870685	40340	2440613	5692	3	7398	4	32
1771612063	491	878	12168	0	254976	6593	0	54	0	48873865	40364	2450254	5711	3	7428	4	32
1771612065	493	878	12168	0	254976	6593	0	54	0	49328212	40728	2461855	5745	3	7458	4	32
1771612067	495	878	12168	0	254976	6593	0	54	0	49333956	40739	2467322	5751	3	7487	4	32
1771612069	497	878	12168	0	254976	6593	0	54	0	49867842	41155	2472975	5775	4	7518	4	32
1771612071	499	878	12168	0	254976	6593	0	54	0	49867988	41157	2473135	5777	4	7548	4	32
1771612073	501	878	12168	0	254976	6593	0	54	0	49869041	41166	2476752	5782	4	7577	4	32
1771612075	503	878	12168	0	254976	6593	0	54	0	49869359	41170	2477116	5786	4	7608	4	32
1771612077	505	878	12168	0	254976	6593	0	54	0	50519064	41677	2486476	5817	4	7639	4	32
1771612079	507	878	12168	0	254976	6593	0	54	0	50519805	41681	2486813	5820	4	7669	4	32
1771612081	509	878	12168	0	254976	6593	0	54	0	51259714	42264	2496999	5856	4	7698	4	32
1771612083	511	878	12168	0	254976	6593	0	54	0	51286803	42322	2515264	5909	4	7727	4	32
1771612085	513	878	12168	0	254976	6593	0	54	0	51327998	42370	2520282	5937	4	7757	4	32
1771612087	515	878	12168	0	254976	6593	0	54	0	51328170	42372	2520380	5938	4	7786	4	32
1771612089	517	878	12168	0	254976	6593	0	54	0	52446878	43342	2595591	6119	4	7811	4	32
1771612091	519	878	12168	0	254976	6593	0	54	0	52479659	43380	2605481	6139	4	7840	4	32
1771612093	521	878	12168	0	254976	6593	0	54	0	53226985	44038	2627538	6259	4	7869	4	32
1771612095	523	878	12168	0	254976	6593	0	54	0	53227303	44042	2627902	6263	4	7898	4	32
1771612097	525	878	12168	0	254976	6593	0	54	0	53227389	44043	2628000	6264	4	7927	4	32
1771612099	527	878	12168	0	254976	6593	0	54	0	53596193	44348	2645599	6305	4	7956	4	32
1771612101	529	878	12168	0	254976	6593	0	54	0	53878808	44578	2650429	6324	4	7984	4	32
1771612103	531	878	12168	0	254976	6593	0	54	0	56271091	46548	2712687	6526	4	8013	4	32
1771612105	533	878	12168	0	254976	6593	0	54	0	56944579	47076	2719409	6558	4	8041	4	32
1771612107	535	878	12168	0	254976	6593	0	54	0	57035826	47228	2760228	6648	4	8068	4	32
1771612109	537	878	12168	0	254976	6593	0	54	0	57214042	47418	2785963	6716	4	8097	4	32
1771612111	539	878	12168	0	254976	6593	0	54	0	57946359	48036	2816165	6824	4	8125	4	32
1771612113	541	878	12168	0	254976	6593	0	54	0	57950846	48068	2828778	6857	4	8153	4	32
1771612115	543	878	12168	0	254976	6593	0	54	0	57969082	48119	2842977	6902	4	8182	4	32
1771612117	545	878	12168	0	254976	6593	0	54	0	58715166	48743	2876471	6994	4	8211	4	32
1771612119	547	878	12168	0	254976	6593	0	54	0	59107818	48809	3275305	7059	4	8239	4	32
1771612121	549	878	12168	0	254976	6593	0	54	0	59734839	49315	3316948	7116	4	8267	4	32
1771612123	550	878	12168	0	254976	6593	0	54	0	59779459	49392	3354434	7153	4	8293	4	32
1771612125	553	878	12168	0	254976	6593	0	54	0	59810686	49458	3377022	7205	4	8322	4	32
1771612127	555	878	12168	0	254976	6593	0	54	0	62037536	51315	3466024	7668	4	8350	4	32
1771612129	557	878	12168	0	254976	6593	0	54	0	62056486	51359	3491692	7713	4	8377	4	32
1771612131	559	878	12168	0	254976	6593	0	54	0	62468428	51778	3590036	7952	4	8405	4	32
1771612133	561	878	12168	0	254976	6593	0	54	0	66570758	55140	3683649	8208	4	8432	4	32
1771612135	563	878	12168	0	254976	6593	0	54	0	68333140	56544	3698780	8271	5	8459	4	32
1771612137	565	878	12168	0	254976	6593	0	54	0	68333312	56546	3698984	8273	5	8487	4	32
1771612139	567	878	12168	0	254976	6593	0	54	0	68921282	57076	3965071	8534	5	8516	4	32
1771612141	569	878	12168	0	254976	6593	0	54	0	69157238	57337	3992319	8652	5	8545	4	32
1771612143	571	878	12168	0	254976	6593	0	54	0	69164684	57360	4001510	8671	5	8575	4	32
1771612145	573	878	12168	0	254976	6593	0	54	0	69188242	57437	4017761	8745	5	8605	4	32
1771612147	575	878	12168	0	254976	6593	0	54	0	69617971	57851	4062969	8868	5	8635	4	32
1771612149	577	878	12168	0	254976	6593	0	54	0	69629362	57888	4070231	8897	5	8664	4	32
1771612151	579	878	12168	0	254976	6593	0	54	0	69651390	57948	4086609	8952	5	8692	4	32
1771612153	581	878	12168	0	254976	6593	0	54	0	70043298	58038	4479872	9033	5	8721	4	32
1771612155	582	878	12168	0	254976	6593	0	54	0	70525478	58405	4571537	9111	5	8746	4	32
1771612157	585	878	12168	0	254976	6593	0	54	0	70527261	58414	4572336	9117	5	8775	4	32
1771612159	587	878	12168	0	254976	6593	0	54	0	70539590	58455	4594718	9166	5	8803	4	32
1771612161	589	878	12168	0	254976	6593	0	54	0	70748412	58639	4604419	9201	5	8833	4	32
1771612163	591	878	12168	0	254976	6593	0	54	0	70748558	58641	4604579	9203	5	8864	4	32
1771612165	593	878	12168	0	254976	6593	0	54	0	71211811	59017	4614557	9240	5	8893	4	32
1771612167	595	878	12168	0	254976	6593	0	54	0	71214059	59031	4619212	9253	5	8925	4	32
1771612169	597	878	12168	0	254976	6593	0	54	0	71219242	59055	4621597	9266	5	8955	4	32
1771612171	599	878	12168	0	254976	6593	0	54	0	71222863	59080	4631972	9294	5	8985	4	32
1771612173	601	878	12168	0	254976	6593	0	54	0	71461275	59280	4641286	9323	5	9017	4	32
1771612175	603	878	12168	0	254976	6593	0	54	0	71476555	59326	4660551	9355	5	9047	4	32
1771612177	605	878	12168	0	254976	6593	0	54	0	74142783	61562	4727643	9629	5	9075	4	32
1771612179	607	878	12168	0	254976	6593	0	54	0	74775048	62136	4777804	9725	5	9104	4	32
1771612181	609	878	12168	0	254976	6593	0	54	0	75115904	62517	4837406	9887	5	9133	4	32
1771612183	611	878	12168	0	254976	6593	0	54	0	75462559	62860	4902392	10017	5	9163	4	32
1771612185	613	878	12168	0	254976	6593	0	54	0	75911917	63266	4936925	10146	5	9192	4	32
1771612187	615	878	12168	0	254976	6593	0	54	0	76577659	63788	4943461	10177	5	9222	4	32
1771612189	617	878	12168	0	254976	6593	0	54	0	76578842	63797	4947826	10188	5	9253	4	32
1771612191	619	878	12168	0	254976	6593	0	54	0	76579989	63807	4951959	10199	5	9284	4	32
1771612193	620	878	12168	0	254976	6593	0	54	0	76582811	63828	4957626	10216	5	9311	4	32
1771612195	623	878	12168	0	254976	6593	0	54	0	77110380	64242	4966933	10249	5	9340	4	32
1771612197	625	878	12168	0	254976	6593	0	54	0	77115045	64263	4980638	10274	5	9370	4	32
1771612199	627	878	12168	0	254976	6593	0	54	0	77115265	64265	4980889	10276	5	9400	4	32
1771612201	629	878	12168	0	254976	6593	0	54	0	77276723	64415	5002666	10319	5	9431	4	32
1771612203	631	878	12168	0	254976	6593	0	54	0	77277514	64424	5003688	10328	5	9462	4	32
1771612205	633	878	12168	0	254976	6593	0	54	0	77278642	64436	5005535	10343	5	9492	4	32
1771612207	635	878	12168	0	254976	6593	0	54	0	77620281	64718	5016338	10379	5	9523	4	32
1771612209	637	878	12168	0	254976	6593	0	54	0	77622830	64736	5018763	10397	5	9553	4	32
1771612211	639	878	12168	0	254976	6593	0	54	0	77623213	64740	5019210	10401	5	9584	4	32
1771612213	641	878	12168	0	254976	6593	0	54	0	77806029	64897	5032184	10428	5	9615	4	32
1771612215	643	878	12168	0	254976	6593	0	54	0	77816052	64924	5046649	10453	5	9646	4	32
1771612217	645	878	12168	0	254976	6593	0	54	0	77831524	64965	5060016	10483	5	9676	4	32
1771612219	647	878	12168	0	254976	6593	0	54	0	77831807	64968	5060753	10488	5	9707	4	32
1771612221	649	878	12168	0	254976	6593	0	54	0	78173722	65248	5070655	10523	5	9737	4	32
1771612223	651	878	12168	0	254976	6593	0	54	0	78173868	65250	5070815	10525	5	9767	4	32
1771612225	653	878	12168	0	254976	6593	0	54	0	78175880	65268	5072996	10544	5	9797	4	32
1771612227	655	878	12168	0	254976	6593	0	54	0	78497855	65530	5081944	10575	5	9826	4	32
1771612229	657	878	12168	0	254976	6593	0	54	0	78502429	65559	5089248	10604	5	9855	4	32
1771612231	658	878	12168	0	254976	6593	0	54	0	78772699	65784	5101388	10634	5	9881	4	32
1771612233	661	878	12168	0	254976	6593	0	54	0	78778179	65814	5114078	10667	5	9911	4	32
1771612235	663	878	12168	0	254976	6593	0	54	0	78783536	65851	5123026	10704	5	9940	4	32
1771612237	665	878	12168	0	254976	6593	0	54	0	78816615	65934	5142278	10773	5	9969	4	32
1771612239	667	878	12168	0	254976	6593	0	54	0	79507878	66472	5148668	10803	6	9998	4	32
1771612241	669	878	12168	0	254976	6593	0	54	0	79508999	66481	5152860	10814	6	10026	4	32
1771612243	671	878	12168	0	254976	6593	0	54	0	79509145	66483	5153020	10816	6	10056	4	32
1771612245	673	878	12168	0	254976	6593	0	54	0	79509978	66489	5156944	10824	6	10086	4	32
1771612247	675	878	12168	0	254976	6593	0	54	0	80190713	67024	5166737	10859	6	10116	4	32
1771612249	677	878	12168	0	254976	6593	0	54	0	80191546	67030	5170600	10867	6	10144	4	32
1771612251	679	878	12168	0	254976	6593	0	54	0	80191718	67032	5170796	10869	6	10173	4	32
1771612253	681	878	12168	0	254976	6593	0	54	0	80192036	67036	5171337	10874	6	10204	4	32
1771612255	683	878	12168	0	254976	6593	0	54	0	80651298	67410	5183233	10908	6	10233	4	32
1771612257	685	878	12168	0	254976	6593	0	54	0	80651530	67413	5183661	10912	6	10263	4	32
1771612259	687	878	12168	0	254976	6593	0	54	0	80652393	67419	5187571	10919	6	10293	4	32
